set	pair	iou_mean	per_angle
shipping fleet (cars)	sedan vs taxi	0.86	0:0.84 90:0.89 180:0.83 270:0.89 
shipping fleet (cars)	sedan vs police	0.73	0:0.69 90:0.77 180:0.69 270:0.77 
shipping fleet (cars)	sedan vs sedan-sports	0.85	0:0.87 90:0.84 180:0.87 270:0.84 
shipping fleet (cars)	taxi vs police	0.75	0:0.75 90:0.76 180:0.73 270:0.76 
shipping fleet (cars)	sedan vs suv	0.85	0:0.87 90:0.84 180:0.86 270:0.84 
shipping fleet (cars)	sedan vs tractor	0.68	0:0.65 90:0.69 180:0.69 270:0.70 
shipping fleet (cars)	firetruck vs tractor	0.64	0:0.63 90:0.65 180:0.63 270:0.65 
Kenney Watercraft Kit	watercraft-kit__boat-speed-a vs watercraft-kit__boat-speed-b	0.91	0:0.94 90:0.90 180:0.91 270:0.90 
Kenney Watercraft Kit	watercraft-kit__boat-speed-a vs watercraft-kit__boat-speed-e	0.66	0:0.59 90:0.70 180:0.64 270:0.70 
Kenney Watercraft Kit	watercraft-kit__boat-speed-a vs watercraft-kit__boat-tug-a	0.63	0:0.71 90:0.58 180:0.67 270:0.58 
Kenney Watercraft Kit	watercraft-kit__boat-house-a vs watercraft-kit__boat-tug-a	0.79	0:0.79 90:0.79 180:0.80 270:0.79 
Kenney Watercraft Kit	watercraft-kit__boat-speed-a vs watercraft-kit__ship-ocean-liner	0.53	0:0.32 90:0.69 180:0.42 270:0.69 
Kenney Watercraft Kit	watercraft-kit__boat-sail-a vs watercraft-kit__boat-fan	0.35	0:0.30 90:0.39 180:0.33 270:0.39 
Kenney City Kit (Suburban)	city-kit-suburban__building-type-a vs city-kit-suburban__building-type-b	0.69	0:0.72 90:0.64 180:0.72 270:0.66 
Kenney City Kit (Suburban)	city-kit-suburban__building-type-a vs city-kit-suburban__building-type-c	0.78	0:0.77 90:0.76 180:0.79 270:0.78 
